1,31,3
1,28,3
1,20,4
1,34,1
1,32,4
1,40,5
1,1,1
1,26,2
1,16,2
1,4,4
1,13,3
1,38,5
1,3,1
1,7,4
1,25,3
1,6,1
1,14,5
1,5,3
1,22,4
1,39,2
2,2,1
2,22,3
2,32,4
2,24,5
2,6,4
2,23,1
2,21,5
2,25,2
2,35,3
2,11,1
2,12,2
2,19,2
2,34,2
2,14,3
2,26,2
2,40,5
2,38,3
2,18,3
2,29,5
2,16,4
3,16,2
3,2,5
3,9,3
3,6,5
3,18,1
3,22,2
3,10,1
3,29,4
3,15,2
3,34,3
3,32,4
3,37,4
3,17,3
3,35,5
3,5,1
3,31,2
3,36,2
3,24,2
3,27,3
3,38,5
4,10,1
4,21,4
4,33,1
4,17,2
4,30,4
4,37,4
4,12,4
4,11,4
4,35,2
4,13,3
4,27,2
4,7,1
4,36,1
4,18,3
4,32,4
4,40,2
4,39,3
4,5,4
4,15,3
4,22,2
5,19,2
5,4,4
5,27,4
5,31,1
5,11,5
5,24,1
5,3,1
5,36,2
5,22,4
5,18,3
5,10,2
5,39,4
5,35,5
5,16,2
5,17,5
5,23,3
5,26,2
5,37,1
5,7,5
5,30,1
6,14,1
6,19,4
6,31,4
6,36,2
6,9,1
6,34,1
6,12,1
6,15,3
6,28,2
6,17,5
6,26,1
6,22,5
6,23,1
6,25,1
6,11,1
6,16,1
6,13,1
6,39,5
6,10,1
6,20,2
7,34,2
7,4,3
7,33,2
7,7,4
7,15,4
7,6,5
7,38,2
7,27,5
7,14,4
7,26,5
7,17,3
7,31,1
7,37,1
7,3,1
7,9,2
7,8,4
7,18,2
7,10,5
7,19,4
7,30,4
8,31,5
8,27,4
8,23,1
8,25,2
8,40,3
8,34,1
8,13,5
8,30,1
8,28,5
8,37,3
8,26,1
8,4,5
8,21,4
8,18,3
8,20,1
8,33,5
8,8,3
8,35,3
8,19,1
8,14,4
9,4,5
9,10,3
9,39,1
9,6,3
9,32,2
9,22,5
9,31,3
9,38,3
9,3,4
9,19,3
9,26,5
9,40,4
9,29,4
9,2,3
9,1,4
9,13,4
9,14,1
9,35,4
9,12,4
9,30,5
10,32,2
10,8,2
10,15,4
10,21,2
10,23,5
10,26,1
10,3,1
10,24,1
10,34,5
10,16,1
10,4,5
10,12,3
10,40,5
10,27,1
10,22,5
10,35,3
10,14,5
10,38,2
10,25,4
10,28,5
11,14,5
11,27,3
11,36,1
11,20,1
11,24,2
11,2,5
11,9,2
11,38,3
11,33,2
11,3,3
11,11,2
11,30,1
11,31,2
11,7,2
11,10,2
11,26,5
11,29,4
11,21,3
11,16,3
11,40,3
12,25,1
12,36,1
12,33,2
12,19,1
12,30,5
12,31,3
12,14,5
12,38,4
12,8,2
12,18,4
12,5,2
12,1,4
12,40,5
12,3,5
12,15,2
12,7,1
12,37,5
12,20,3
12,2,5
12,32,1
13,32,3
13,17,5
13,35,5
13,23,3
13,26,5
13,30,3
13,28,5
13,9,3
13,16,4
13,5,5
13,8,3
13,27,1
13,21,3
13,6,2
13,34,4
13,14,2
13,18,5
13,24,2
13,19,5
13,10,2
14,16,2
14,7,3
14,25,5
14,1,1
14,5,1
14,28,3
14,29,5
14,27,1
14,21,2
14,34,1
14,8,5
14,6,3
14,19,5
14,14,2
14,9,2
14,30,5
14,40,3
14,4,2
14,12,1
14,35,4
15,10,5
15,30,4
15,14,3
15,7,2
15,20,1
15,6,5
15,4,2
15,13,1
15,16,4
15,24,5
15,32,2
15,11,5
15,33,1
15,9,1
15,21,1
15,15,2
15,27,2
15,8,5
15,19,3
15,34,3
16,9,2
16,22,1
16,20,1
16,23,2
16,19,3
16,4,2
16,35,3
16,31,4
16,25,4
16,32,3
16,16,3
16,3,5
16,12,4
16,39,3
16,2,1
16,13,5
16,24,1
16,18,1
16,37,4
16,15,1
17,7,4
17,33,4
17,25,4
17,5,4
17,16,4
17,8,5
17,40,5
17,17,4
17,12,2
17,9,1
17,6,4
17,39,3
17,10,3
17,35,2
17,27,2
17,21,5
17,29,1
17,11,3
17,14,5
17,26,3
18,17,1
18,23,5
18,38,5
18,5,2
18,15,5
18,34,5
18,29,5
18,4,2
18,40,1
18,3,2
18,9,4
18,35,5
18,37,1
18,28,3
18,21,2
18,6,4
18,25,1
18,26,4
18,2,2
18,16,2
19,24,1
19,21,5
19,15,5
19,13,2
19,32,3
19,9,5
19,30,4
19,27,1
19,29,5
19,39,3
19,10,4
19,40,5
19,35,4
19,33,4
19,6,1
19,12,1
19,14,3
19,38,4
19,28,4
19,20,2
20,5,3
20,13,1
20,35,1
20,12,4
20,30,3
20,6,4
20,26,2
20,9,1
20,33,4
20,24,4
20,8,5
20,36,2
20,17,2
20,14,1
20,16,4
20,3,3
20,21,3
20,39,4
20,34,4
20,32,3
